"location","total_deaths_per_million","max_stringency","population_density","date_first_death_days","total_restrictions","total_restrictions_cubed"
"Albania",408.641,89.81,104.871,25.458333333333332,1966,12004
"Austria",818.638,82.41,106.749,28.458333333333332,1659,8403
"Belgium",1671.29,81.48,375.564,25.458333333333332,1871,11015
"Bosnia and Herzegovina",1241.015,92.59,68.496,35.45833333333333,1785,11883
"Bulgaria",1089.659,73.15,65.18,25.458333333333332,1149,5043
"Croatia",945.694,96.3,73.726,33.45833333333333,1312,7930
"Cyprus",131.696,94.44,127.657,39.45833333333333,1612,8854
"Czechia",1065.685,82.41,137.176,36.45833333333333,1780,10774
"Denmark",216.056,72.22,136.52,28.458333333333332,1189,3343
"Estonia",170.542,77.78,31.033,39.45833333333333,941,3401
"Finland",105.977,71.3,18.136,21.458333333333332,749,1589
"France",955.074,87.96,122.578,0.4583333333333333,2200,16522
"Germany",382.68,82.41,237.016,23.458333333333332,1749,6783
"Greece",461.683,84.26,83.479,25.458333333333332,1942,10846
"Hungary",978.705,76.85,108.043,29.458333333333332,1507,4783
"Iceland",78.635,53.7,3.404,35.45833333333333,671,2441
"Ireland",446.727,90.74,69.874,25.458333333333332,1778,8558
"Italy",1219.266,93.52,205.859,6.458333333333333,2998,26596
"Latvia",335.309,69.44,31.212,48.45833333333333,1202,5000
"Lithuania",646.873,87.04,45.135,38.45833333333333,1298,6332
"Luxembourg",779.756,79.63,231.447,28.458333333333332,1641,8289
"Netherlands",660.976,78.7,508.544,20.458333333333332,1561,5509
"Norway",79.771,79.63,14.462,28.458333333333332,970,2374
"Poland",741.302,87.04,124.027,26.458333333333332,1581,8589
"Portugal",671.72,87.96,112.371,31.458333333333332,1559,7583
"Romania",815.359,87.04,85.129,36.45833333333333,1437,8085
"Serbia",460.304,100,80.291,34.45833333333333,1728,8646
"Slovakia",378.95,87.04,113.128,46.45833333333333,1763,12491
"Slovenia",1282.037,89.81,102.619,28.458333333333332,1598,10328
"Spain",1084.368,85.19,93.105,17.458333333333332,2300,15188
"Sweden",858.943,69.44,24.718,24.458333333333332,745,967
"Switzerland",894.499,73.15,214.243,20.458333333333332,1362,6804
"United Kingdom",1064.478,79.63,272.898,20.458333333333332,2118,10824
