"iso_code","continent","location","date","c2_workplace_closing","c2_workplace_closing_cubed","cum_c2_workplace_closing","cum_c2_workplace_closing_cubed","c6_stay_at_home_requirements","c6_stay_at_home_requirements_cubed","cum_c6_stay_at_home_requirements","cum_c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement","c7_restrictions_on_internal_movement_cubed","cum_c7_restrictions_on_internal_movement","cum_c7_restrictions_on_internal_movement_cubed","h6_facial_coverings","h6_facial_coverings_cubed","cum_h6_facial_coverings","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","total_deaths_per_million","stringency_index_for_display","government_response_index_for_display","containment_health_index_for_display","economic_support_index_for_display","date_first_death_days","max_stringency","population_density"
"ALB","Europe","Albania","2020-12-30",1,1,583,2311,2,8,422,1196,0,0,236,944,4,64,725,7553,1966,12004,408.641,56.48,60.94,62.5,50,25.458333333333332,89.81,104.871
"AND","Europe","Andorra","2020-12-30",2,8,621,3039,0,0,116,116,0,0,0,0,3,27,759,5571,1496,8726,1085.917,52.78,63.54,58.33,100,36.45833333333333,59.26,163.755
"AUT","Europe","Austria","2020-12-30",3,27,539,2657,2,8,260,986,1,1,209,551,3,27,651,4209,1659,8403,818.638,82.41,84.79,82.62,100,28.458333333333332,82.41,106.749
"BLR","Europe","Belarus","2020-12-30",0,0,0,0,1,1,274,274,0,0,0,0,3,27,393,1737,667,2011,149.743,42.59,43.7,49.94,0,45.45833333333333,42.59,46.858
"BEL","Europe","Belgium","2020-12-30",2,8,668,3914,2,8,363,1437,0,0,190,724,3,27,650,4940,1871,11015,1671.29,60.19,66.88,62.14,100,25.458333333333332,81.48,375.564
"BIH","Europe","Bosnia and Herzegovina","2020-12-30",2,8,467,2195,2,8,259,1561,0,0,228,648,3,27,831,7479,1785,11883,1241.015,42.59,38.02,43.45,0,35.45833333333333,92.59,68.496
"BGR","Europe","Bulgaria","2020-12-30",2,8,363,867,0,0,111,333,0,0,98,392,3,27,577,3451,1149,5043,1089.659,53.7,52.29,50.83,62.5,25.458333333333332,73.15,65.18
"HRV","Europe","Croatia","2020-12-30",2,8,440,2234,0,0,217,511,2,8,142,568,3,27,513,4617,1312,7930,945.694,67.59,68.65,73.1,37.5,33.45833333333333,96.3,73.726
"CYP","Europe","Cyprus","2020-12-30",2,8,451,2047,1,1,407,1157,2,8,206,764,4,64,548,4886,1612,8854,131.696,74.07,80.42,77.62,100,39.45833333333333,94.44,127.657
"CZE","Europe","Czechia","2020-12-30",2,8,458,1892,2,8,235,757,2,8,288,810,4,64,799,7315,1780,10774,1065.685,73.15,76.46,78.45,62.5,36.45833333333333,82.41,137.176
"DNK","Europe","Denmark","2020-12-30",2,8,523,1891,1,1,280,280,0,0,80,80,2,8,306,1092,1189,3343,216.056,51.85,60.83,55.24,100,28.458333333333332,72.22,136.52
"EST","Europe","Estonia","2020-12-30",2,8,409,1729,0,0,100,400,0,0,110,440,2,8,322,832,941,3401,170.542,55.56,49.17,49.05,50,39.45833333333333,77.78,31.033
"FIN","Europe","Finland","2020-12-30",2,8,416,1148,1,1,101,101,0,0,92,200,1,1,140,140,749,1589,105.977,52.31,53.07,49.94,75,21.458333333333332,71.3,18.136
"FRA","Europe","France","2020-12-30",2,8,609,3537,2,8,302,1082,0,0,399,1257,4,64,890,10646,2200,16522,955.074,63.89,61.2,62.8,50,0.4583333333333333,87.96,122.578
"DEU","Europe","Germany","2020-12-30",3,27,583,2557,2,8,207,639,1,1,416,1430,2,8,543,2157,1749,6783,382.68,82.41,69.17,73.69,37.5,23.458333333333332,82.41,237.016
"GRC","Europe","Greece","2020-12-30",2,8,428,1232,2,8,405,1137,2,8,435,1335,4,64,674,7142,1942,10846,461.683,84.26,83.75,83.21,87.5,25.458333333333332,84.26,83.479
"HUN","Europe","Hungary","2020-12-30",2,8,443,1361,2,8,347,995,0,0,221,443,2,8,496,1984,1507,4783,978.705,72.22,63.23,66.9,37.5,29.458333333333332,76.85,108.043
"ISL","Europe","Iceland","2020-12-30",2,8,365,1217,0,0,0,0,0,0,0,0,2,8,306,1224,671,2441,78.635,52.78,62.92,59.4,87.5,35.45833333333333,53.7,3.404
"IRL","Europe","Ireland","2020-12-30",3,27,674,4682,1,1,352,1042,2,8,416,1490,2,8,336,1344,1778,8558,446.727,84.26,76.56,76.79,75,25.458333333333332,90.74,69.874
"ITA","Europe","Italy","2020-12-30",2,8,717,4629,2,8,624,2496,2,8,573,2127,4,64,1084,17344,2998,26596,1219.266,78.7,76.2,76.37,75,6.458333333333333,93.52,205.859
"LVA","Europe","Latvia","2020-12-30",3,27,562,2332,1,1,205,205,0,0,0,0,3,27,435,2463,1202,5000,335.309,63.89,63.75,58.57,100,48.45833333333333,69.44,31.212
"LIE","Europe","Liechtenstein","2020-12-30",2,8,511,2359,1,1,170,170,0,0,0,0,2,8,408,1476,1089,4005,1124.065,56.48,49.48,56.55,0,49.45833333333333,67.59,237.012
"LTU","Europe","Lithuania","2020-12-30",3,27,472,2554,2,8,254,344,2,8,176,290,3,27,396,3144,1298,6332,646.873,76.85,71.77,73.1,62.5,38.45833333333333,87.04,45.135
"LUX","Europe","Luxembourg","2020-12-30",2,8,441,1995,2,8,385,961,0,0,139,355,3,27,676,4978,1641,8289,779.756,67.59,69.69,70.71,62.5,28.458333333333332,79.63,231.447
"MLT","Europe","Malta","2020-12-30",2,8,280,1018,0,0,153,567,0,0,147,525,4,64,692,7268,1272,9378,418.524,52.78,61.67,61.55,62.5,53.45833333333333,87.04,1454.037
"MDA","Europe","Moldova","2020-12-30",2,8,529,1933,1,1,252,570,1,1,317,1007,3,27,491,2429,1589,5939,735.582,57.41,58.33,61.31,37.5,32.45833333333333,87.04,123.655
"MCO","Europe","Monaco","2020-12-30",2,8,647,3293,2,8,416,1076,0,0,300,624,4,64,837,9213,2200,14206,75.911,51.85,51.56,53.57,37.5,43.45833333333333,87.96,19347.5
"NLD","Europe","Netherlands","2020-12-30",3,27,622,2998,1,1,343,637,1,1,170,170,2,8,426,1704,1561,5509,660.976,78.7,68.23,67.26,75,20.458333333333332,78.7,508.544
"NOR","Europe","Norway","2020-12-30",2,8,430,1234,1,1,56,56,1,1,280,490,2,8,204,594,970,2374,79.771,56.02,54.38,56.79,37.5,28.458333333333332,79.63,14.462
"POL","Europe","Poland","2020-12-30",2,8,512,2048,1,1,148,268,1,1,213,591,3,27,708,5682,1581,8589,741.302,75,72.29,71.9,75,26.458333333333332,87.04,124.027
"PRT","Europe","Portugal","2020-12-30",2,8,634,3226,2,8,293,983,0,0,84,222,3,27,548,3152,1559,7583,671.72,63.89,66.04,64.76,75,31.458333333333332,87.96,112.371
"ROU","Europe","Romania","2020-12-30",2,8,476,1568,2,8,357,1107,2,8,225,873,4,64,379,4537,1437,8085,815.359,76.85,74.17,72.26,87.5,36.45833333333333,87.04,85.129
"SMR","Europe","San Marino","2020-12-30",2,8,286,844,2,8,147,363,0,0,109,229,3,27,286,2224,828,3660,1734.784,64.81,67.19,66.07,75,14.458333333333332,92.59,556.667
"SRB","Europe","Serbia","2020-12-30",2,8,556,2674,1,1,394,1612,1,1,294,654,3,27,484,3706,1728,8646,460.304,60.19,62.19,62.14,62.5,34.45833333333333,100,80.291
"SVK","Europe","Slovakia","2020-12-30",2,8,422,1658,2,8,240,696,0,0,283,619,4,64,818,9518,1763,12491,378.95,58.33,70,67.5,87.5,46.45833333333333,87.04,113.128
"SVN","Europe","Slovenia","2020-12-30",2,8,477,2373,2,8,205,637,2,8,208,832,4,64,708,6486,1598,10328,1282.037,81.48,75.42,75.48,75,28.458333333333332,89.81,102.619
"ESP","Europe","Spain","2020-12-30",2,8,605,3089,2,8,446,1448,2,8,464,1544,4,64,785,9107,2300,15188,1084.368,78.7,73.33,71.31,87.5,17.458333333333332,85.19,93.105
"SWE","Europe","Sweden","2020-12-30",2,8,327,549,1,1,281,281,1,1,137,137,0,0,0,0,745,967,858.943,69.44,61.88,61.79,62.5,24.458333333333332,69.44,24.718
"CHE","Europe","Switzerland","2020-12-30",2,8,583,3067,1,1,170,170,0,0,81,81,3,27,528,3486,1362,6804,894.499,60.19,59.06,62.14,37.5,20.458333333333332,73.15,214.243
"UKR","Europe","Ukraine","2020-12-30",2,8,536,2018,1,1,290,290,0,0,564,2256,2,8,804,7146,2194,11710,438.449,54.63,55.21,57.74,37.5,27.458333333333332,88.89,77.39
"GBR","Europe","United Kingdom","2020-12-30",3,27,660,3900,2,8,366,834,2,8,517,1915,3,27,575,4175,2118,10824,1064.478,79.63,79.27,76.31,100,20.458333333333332,79.63,272.898
