"location","iso_code","date","continent","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","region_name","region_code","jurisdiction","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_restrictions_on_internal_movement","c7_flag","c8_international_travel_controls","e1_income_support","e1_flag","e2_debt/contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","m1_wildcard","v1_vaccine_prioritisation_(summary)","v2_a_vaccine_availability_(summary)","v2_b_vaccine_age_eligibility/availability_age_floor_(general_population_summary)","v2_c_vaccine_age_eligibility/availability_age_floor_(at_risk_summary)","v2_d_medically/_clinically_vulnerable_(non-elderly)","v2_e_education","v2_f_frontline_workers__(non_healthcare)","v2_g_frontline_workers__(healthcare)","v3_vaccine_financial_support_(summary)","v4_mandatory_vaccination_(summary)","confirmed_cases","confirmed_deaths","stringency_index","stringency_index_for_display","stringency_legacy_index","stringency_legacy_index_for_display","government_response_index","government_response_index_for_display","containment_health_index","containment_health_index_for_display","economic_support_index","economic_support_index_for_display","lat_raw","long_raw","obesity_prevalence","latitude","longitude","c2_workplace_closing_cubed","c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement_cubed","h6_facial_coverings_cubed","cum_c2_workplace_closing","cum_c6_stay_at_home_requirements","cum_c7_restrictions_on_internal_movement","cum_h6_facial_coverings","cum_c2_workplace_closing_cubed","cum_c6_stay_at_home_requirements_cubed","cum_c7_restrictions_on_internal_movement_cubed","cum_h6_facial_coverings_cubed","sub_stringency","sub_stringency_cubed","lockdowns","lockdowns_cubed","first_death_date","date_first_death_days","stringency"
"Albania","ALB","2021-12-30","Europe",208899,0,280.571,3212,0,4.429,72712.774,0,97.66,1118.021,0,1.541,1.44,NA,NA,NA,NA,NA,NA,NA,NA,1418881,5482,493.879,1.908,3796,1.321,0.0739,13.5,NA,NA,NA,NA,NA,5958,NA,NA,NA,NA,2074,1997,0.07,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,0,1,1,3,1,0,NA,2,1,0,NA,3,1,1,1,NA,NA,2,1,2,1,NA,0,3,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,208899,3212,46.3,46.3,57.86,57.86,52.6,52.6,52.98,52.98,50,50,41,20,21.7,41,20,1,8,0,27,987,1152,272,1836,2949,4116,1088,20448,4247,28601,2139,7065,"2020-03-11",25.458333333333332,89.81
"Andorra","AND","2021-12-30","Europe",23122,299,221.571,140,0,0.143,298911.498,3865.346,2864.382,1809.861,0,1.847,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101,14.233,0.2012,5,NA,NA,NA,NA,NA,542,NA,NA,NA,NA,7007,29,0.037,77354,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,4,1,1,1,1,1,1,1,2,2,1,2,NA,NA,2,1,3,2,NA,0,4,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,NA,23122,140,64.81,64.81,72.62,72.62,76.04,76.04,72.62,72.62,100,100,42.5,1.5,25.6,42.5,1.5,8,1,1,64,1148,166,37,1734,4538,244,37,13434,3085,18253,1314,4782,"2020-03-22",36.45833333333333,65.74
"Austria","AUT","2021-12-30","Europe",1267630,3342,2264.429,16799,25,23.143,140176.922,369.565,250.405,1857.665,2.765,2.559,1.04,343,37.93,1098,121.419,NA,NA,NA,NA,123226848,305717,13626.658,33.807,600086,66.359,0.0038,265,NA,NA,NA,NA,NA,34997,NA,NA,NA,NA,3870,3507,0.039,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.922,NA,NA,NA,NA,"","","NAT_TOTAL",2,0,2,1,2,0,3,1,1,1,2,1,0,NA,3,2,1,2,NA,NA,2,1,3,2,NA,0,3,1,5,1,3,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,1267630,16799,62.04,62.04,74.52,74.52,77.08,77.08,73.81,73.81,100,100,47.33,13.33,20.1,47.33,13.33,8,8,0,27,1340,618,610,1746,6926,2418,2026,14064,4314,25434,1958,9344,"2020-03-14",28.458333333333332,82.41
"Belarus","BLR","2021-12-30","Europe",697600,1380,1207,5561,18,16,73875.868,146.142,127.821,588.91,1.906,1.694,0.9,NA,NA,NA,NA,NA,NA,NA,NA,11022249,NA,1167.257,NA,17850,1.89,0.0676,14.8,NA,NA,NA,NA,NA,67398,NA,NA,NA,NA,7137,39278,0.416,9442867,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,0.823,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3,0,NA,0,NA,NA,2,1,3,0,NA,0,1,1,4,1,0,NA,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,NA,697600,5561,19.44,19.44,25,25,23.75,23.75,27.14,27.14,0,0,53,28,24.5,53,28,0,0,0,1,98,503,0,1186,98,503,0,7564,1787,8165,601,601,"2020-03-31",45.45833333333333,43.52
"Belgium","BEL","2021-12-30","Europe",2089657,13876,8397,28308,41,28.286,179642.108,1192.882,721.867,2433.561,3.525,2.432,1.26,537,46.164,1806,155.257,NA,NA,942,80.981,27274235,83492,2344.692,7.178,64920,5.581,0.16,6.2,21713850,8935931,8826089,4379505,54932,47242,186.67,76.82,75.88,37.65,4061,978,0.008,11632334,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,0.931,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,3,1,0,NA,0,NA,0,NA,3,2,1,1,NA,NA,2,1,3,2,NA,0,3,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,2089657,28308,50,50,57.14,57.14,65.1,65.1,63.69,63.69,75,75,50.83,4,22.1,50.83,4,8,0,0,27,1398,702,190,1698,6834,2544,724,13902,3988,24004,2100,9378,"2020-03-11",25.458333333333332,81.48
"Bosnia & Herzegovina","BIH","2021-12-30","Europe",290471,795,525.571,13428,31,26.429,89007.093,243.607,161.047,4114.653,9.499,8.098,1.34,NA,NA,NA,NA,NA,NA,NA,NA,1479046,4261,453.214,1.306,2838,0.87,0.1852,5.4,NA,NA,NA,NA,NA,4315,NA,NA,NA,NA,1322,1020,0.031,3263459,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,1,1,1,3,1,0,NA,0,NA,0,NA,1,0,NA,2,NA,NA,2,1,3,0,NA,NA,2,1,4,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,290471,13428,35.19,35.19,43.57,43.57,42.5,42.5,41.43,41.43,50,50,44,18,17.9,44,18,1,0,0,8,1007,562,237,1736,3785,2746,657,13724,3542,20912,1569,6531,"2020-03-21",35.45833333333333,92.59
"Bulgaria","BGR","2021-12-30","Europe",744298,3616,1741.714,30890,71,64.857,107921.594,524.312,252.545,4478.983,10.295,9.404,1.42,462,66.989,4071,590.286,NA,NA,NA,NA,7419396,NA,1075.796,NA,23844,3.457,0.073,13.7,3697068,NA,1913988,272721,14608,6406,53.61,NA,27.75,3.95,929,2196,0.032,6896655,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,3,1,0,NA,0,NA,0,NA,3,2,0,2,NA,NA,2,1,3,2,NA,0,2,1,5,1,0,NA,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,NA,744298,30890,50,50,57.14,57.14,60.94,60.94,57.14,57.14,87.5,87.5,43,25,25,43,25,8,0,0,8,1038,133,120,1602,3522,355,414,12264,2893,16555,1171,3877,"2020-03-11",25.458333333333332,73.15
"Croatia","HRV","2021-12-30","Europe",709678,5958,3298.286,12493,27,44.857,173870.073,1459.701,808.075,3060.767,6.615,10.99,1.32,NA,NA,1858,455.207,NA,NA,NA,NA,NA,NA,NA,NA,9053,2.218,0.3643,2.7,4725029,2258827,1952486,NA,16072,11884,115.76,55.34,47.84,NA,2912,1117,0.027,4081657,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,1,1,1,3,1,0,NA,0,NA,0,NA,3,1,0,2,NA,NA,2,1,3,1,NA,0,2,1,5,1,1,0,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,709678,12493,40.74,40.74,50.71,50.71,50.52,50.52,48.81,48.81,62.5,62.5,45.17,15.5,24.4,45.17,15.5,1,0,0,8,911,228,160,1503,3341,522,640,13011,2802,17514,1139,3863,"2020-03-19",33.45833333333333,96.3
"Cyprus","CYP","2021-12-30","Europe",161779,3851,1873.714,636,1,1.571,180555.912,4297.967,2091.187,709.817,1.116,1.754,1.84,39,43.527,178,198.66,NA,NA,NA,NA,19232696,114743,21464.943,128.061,92322,103.037,0.0203,49.3,NA,NA,NA,NA,NA,3393,NA,NA,NA,NA,3787,526,0.059,896005,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,0.887,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,3,1,2,1,3,1,0,NA,1,1,0,NA,2,2,1,2,NA,NA,2,1,3,2,NA,0,3,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,NA,161779,636,58.33,58.33,67.86,67.86,70.83,70.83,66.67,66.67,100,100,35,33,21.8,35,33,27,1,0,27,1438,809,439,1606,9850,2537,1357,14506,4292,28250,2247,12387,"2020-03-25",39.45833333333333,94.44
"Czechia","CZE","2021-12-30","Europe",2469951,6171,8994.571,36061,86,110.429,230308.06,575.409,838.69,3362.471,8.019,10.297,0.95,644,60.049,3278,305.654,236,22.006,2250,209.799,47117350,56185,4393.409,5.239,50108,4.672,0.094,10.6,15486139,6829117,6658903,2402628,53300,36903,144.4,63.68,62.09,22.4,3441,2549,0.024,10724553,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.9,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,3,1,0,NA,0,NA,0,NA,2,2,0,2,NA,NA,2,1,3,1,NA,0,2,1,5,1,2,1,NA,2,1,"65-69 yrs","65-69 yrs",1,1,2,2,5,0,2469951,36061,47.22,47.22,53.57,53.57,60.42,60.42,56.55,56.55,87.5,87.5,49.75,15.5,26,49.75,15.5,8,0,0,8,1073,418,492,1763,4007,1426,1626,16103,3746,23162,1491,5433,"2020-03-22",36.45833333333333,82.41
