"location","iso_code","date","continent","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","region_name","region_code","jurisdiction","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_restrictions_on_internal_movement","c7_flag","c8_international_travel_controls","e1_income_support","e1_flag","e2_debt/contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","m1_wildcard","v1_vaccine_prioritisation_(summary)","v2_a_vaccine_availability_(summary)","v2_b_vaccine_age_eligibility/availability_age_floor_(general_population_summary)","v2_c_vaccine_age_eligibility/availability_age_floor_(at_risk_summary)","v2_d_medically/_clinically_vulnerable_(non-elderly)","v2_e_education","v2_f_frontline_workers__(non_healthcare)","v2_g_frontline_workers__(healthcare)","v3_vaccine_financial_support_(summary)","v4_mandatory_vaccination_(summary)","confirmed_cases","confirmed_deaths","stringency_index","stringency_index_for_display","stringency_legacy_index","stringency_legacy_index_for_display","government_response_index","government_response_index_for_display","containment_health_index","containment_health_index_for_display","economic_support_index","economic_support_index_for_display","lat_raw","long_raw","obesity_prevalence","latitude","longitude","c2_workplace_closing_cubed","c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement_cubed","h6_facial_coverings_cubed","cum_c2_workplace_closing","cum_c6_stay_at_home_requirements","cum_c7_restrictions_on_internal_movement","cum_h6_facial_coverings","cum_c2_workplace_closing_cubed","cum_c6_stay_at_home_requirements_cubed","cum_c7_restrictions_on_internal_movement_cubed","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","first_death_date","date_first_death_days","max_stringency"
"Albania","ALB","2022-05-20","Europe",275732,0,28.286,3497,0,0,95975.752,0,9.846,1217.223,0,0,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,0.046,0.2127,4.7,NA,NA,NA,NA,NA,2911,NA,NA,NA,NA,1013,1789,0.062,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,2,1,3,0,NA,0,2,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,275732,3497,11.11,11.11,14.29,14.29,23.96,23.96,27.38,27.38,0,0,41,20,21.7,41,20,0,0,0,8,1125,1230,472,2171,3087,4302,1888,22583,4998,31860,"2020-03-11",25.458333333333332,89.81
"Andorra","AND","2022-05-20","Europe",42572,0,59.429,153,0,0,550352.923,0,768.268,1977.92,0,0,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,181,0,0,77354,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,2,0,3,2,NA,0,2,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,42572,153,8.33,8.33,9.52,9.52,28.65,28.65,32.74,32.74,0,0,42.5,1.5,25.6,42.5,1.5,0,0,0,8,1244,172,43,2074,4808,250,43,16186,3533,21287,"2020-03-22",36.45833333333333,65.74
"Austria","AUT","2022-05-20","Europe",4266462,3302,3570.429,19855,7,4.857,471793.435,365.141,394.825,2195.603,0.774,0.537,0.67,55,6.082,649,71.768,NA,NA,NA,NA,186214893,227772,20591.995,25.187,191456,21.172,0.0186,53.6,18346357,6827828,6617974,5251779,NA,3188,202.88,75.5,73.18,58.08,353,106,0.001,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.922,NA,NA,NA,NA,"","","NAT_TOTAL",2,0,2,1,1,1,2,1,0,NA,0,NA,0,NA,0,2,1,2,NA,NA,2,1,3,2,NA,0,2,1,5,1,3,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,4266462,19855,35.19,35.19,41.67,41.67,60.42,60.42,54.76,54.76,100,100,47.33,13.33,20.1,47.33,13.33,8,0,0,8,1646,678,610,2029,8780,2658,2026,15211,4963,28675,"2020-03-14",28.458333333333332,82.41
"Belarus","BLR","2022-05-20","Europe",982867,0,0,6978,0,0,104085.655,0,0,738.97,0,0,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18976,NA,NA,NA,NA,2010,5133,0.054,9442867,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,0.823,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,0,NA,0,NA,NA,2,1,3,0,NA,0,1,1,5,1,0,NA,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,982867,6978,16.67,16.67,21.43,21.43,23.44,23.44,26.79,26.79,0,0,53,28,24.5,53,28,0,0,0,1,163,503,0,1327,163,503,0,7705,1993,8371,"2020-03-31",45.45833333333333,43.52
"Belgium","BEL","2022-05-20","Europe",4134293,0,2556.571,31675,0,8.857,355413.883,0,219.781,2723.013,0,0.761,0.85,92,7.909,1306,112.273,NA,NA,625,53.73,33995307,15127,2922.484,1.3,15429,1.326,0.175,5.7,25350898,9243085,9144775,7392377,2391,1606,217.93,79.46,78.62,63.55,138,147,0.001,11632334,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,0.931,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,3,0,NA,0,NA,NA,2,1,3,2,NA,0,2,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,4134293,31675,23.15,23.15,32.14,32.14,39.06,39.06,44.64,44.64,0,0,50.83,4,22.1,50.83,4,1,0,0,8,1592,702,190,2046,7346,2544,724,16284,4530,26898,"2020-03-11",25.458333333333332,81.48
"Bosnia and Herzegovina","BIH","2022-05-20","Europe",377709,32,28.286,15783,0,0.714,115738.853,9.806,8.667,4836.28,0,0.219,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3263459,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,0,NA,1,1,2,1,0,NA,0,NA,0,NA,1,0,NA,0,NA,NA,2,1,3,0,NA,0,2,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,377709,15783,28.7,28.7,34.52,34.52,33.85,33.85,38.69,38.69,0,0,44,18,17.9,44,18,0,0,0,8,1147,683,273,2095,3925,2867,693,16315,4198,23800,"2020-03-21",35.45833333333333,92.59
"Bulgaria","BGR","2022-05-20","Europe",1163225,239,267.714,37087,9,6.286,168665.099,34.654,38.818,5377.534,1.305,0.911,0.78,50,7.25,561,81.344,NA,NA,NA,NA,NA,NA,NA,NA,5449,0.79,0.0491,20.4,4395053,NA,2058531,755539,649,566,63.73,NA,29.85,10.96,82,97,0.001,6896655,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,0,2,NA,NA,2,1,3,2,NA,0,0,NA,5,1,0,NA,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,1163225,37087,11.11,11.11,14.29,14.29,35.94,35.94,28.57,28.57,87.5,87.5,43,25,25,43,25,0,0,0,0,1209,133,120,1792,4149,355,414,13024,3254,17942,"2020-03-11",25.458333333333332,73.15
"Croatia","HRV","2022-05-20","Europe",1133565,426,429,15954,4,4.857,277721.768,104.369,105.104,3908.707,0.98,1.19,0.74,NA,NA,273,66.885,NA,NA,NA,NA,NA,NA,NA,NA,3393,0.831,0.1264,7.9,5250900,2314255,2243353,NA,363,280,128.65,56.7,54.96,NA,69,38,0.001,4081657,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,1,1,1,0,NA,0,NA,0,NA,0,NA,2,0,NA,0,NA,NA,1,1,2,0,NA,NA,2,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,1133565,15954,24.07,24.07,40.48,40.48,29.17,29.17,33.33,33.33,0,0,45.17,15.5,24.4,45.17,15.5,1,0,0,8,1052,228,160,1785,3482,522,640,14139,3225,18783,"2020-03-19",33.45833333333333,96.3
"Cyprus","CYP","2022-05-20","Europe",488189,2103,300.429,1057,6,0.857,544850.754,2347.085,335.298,1179.681,6.696,0.957,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896005,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,0.887,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,1,0,NA,0,NA,1,1,0,NA,0,NA,1,2,1,2,NA,NA,2,1,3,2,NA,0,1,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,488189,1057,26.85,26.85,41.67,41.67,50,50,42.86,42.86,100,100,35,33,21.8,35,33,1,0,0,1,1581,945,488,2019,10017,2673,1406,18183,5033,32279,"2020-03-25",39.45833333333333,94.44
"Czechia","CZE","2022-05-20","Europe",3917979,326,325.143,40265,3,2.857,365327.954,30.398,30.318,3754.469,0.28,0.266,0.59,16,1.492,208,19.395,10,0.932,213,19.861,54446934,7414,5076.849,0.691,5783,0.539,0.056,17.9,17619753,6961770,6873416,4194963,4821,1952,164.29,64.91,64.09,39.12,182,144,0.001,10724553,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.9,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,0,0,NA,NA,2,1,3,2,NA,NA,2,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,3917979,40265,14.81,14.81,21.43,21.43,39.06,39.06,39.29,39.29,37.5,37.5,49.75,15.5,26,49.75,15.5,1,0,0,8,1255,418,492,2045,4435,1426,1626,17231,4210,24718,"2020-03-22",36.45833333333333,82.41
