"iso_code","continent","location","date","c2_workplace_closing","c2_workplace_closing_cubed","cum_c2_workplace_closing","cum_c2_workplace_closing_cubed","c6_stay_at_home_requirements","c6_stay_at_home_requirements_cubed","cum_c6_stay_at_home_requirements","cum_c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement","c7_restrictions_on_internal_movement_cubed","cum_c7_restrictions_on_internal_movement","cum_c7_restrictions_on_internal_movement_cubed","h6_facial_coverings","h6_facial_coverings_cubed","cum_h6_facial_coverings","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","total_deaths_per_million","stringency_index_for_display","government_response_index_for_display","containment_health_index_for_display","economic_support_index_for_display","date_first_death_days","max_stringency","population_density","obesity_prevalence"
"AFG","Asia","Afghanistan","2021-12-30",2,8,1047,6273,0,0,352,1498,0,0,370,1174,3,27,1571,12911,3340,21856,184.66,19.44,16.88,19.29,0,37.45833333333333,84.26,54.422,5.5
"ALB","Europe","Albania","2021-12-30",1,1,987,2949,2,8,1152,4116,0,0,272,1088,3,27,1836,20448,4247,28601,1118.021,46.3,52.6,52.98,50,25.458333333333332,89.81,104.871,21.7
"DZA","Africa","Algeria","2021-12-30",1,1,1087,4021,0,0,1184,5216,0,0,754,2950,3,27,1761,15849,4786,28036,140.553,48.15,50.52,50.6,50,26.458333333333332,92.13,17.348,27.4
"AND","Europe","Andorra","2021-12-30",2,8,1148,4538,1,1,166,244,1,1,37,37,4,64,1734,13434,3085,18253,1809.861,64.81,76.04,72.62,100,36.45833333333333,65.74,163.755,25.6
"AGO","Africa","Angola","2021-12-30",3,27,1257,5343,1,1,793,1687,2,8,1075,3883,3,27,1960,20740,5085,31653,51.984,73.15,63.54,72.62,0,43.45833333333333,90.74,23.89,8.2
"ARG","South America","Argentina","2021-12-30",1,1,1350,7182,1,1,1252,5320,0,0,1173,4449,4,64,1882,17248,5657,34199,2568.663,55.56,59.38,64.29,25,22.458333333333332,100,16.177,28.3
"AUS","Oceania","Australia","2021-12-30",0,0,1369,8185,0,0,809,3131,2,8,1273,4999,3,27,1604,17480,5055,33795,86.823,40.28,45.31,51.79,0,15.458333333333332,78.24,3.202,29
"AUT","Europe","Austria","2021-12-30",2,8,1340,6926,2,8,618,2418,0,0,610,2026,3,27,1746,14064,4314,25434,1857.665,62.04,77.08,73.81,100,28.458333333333332,82.41,106.749,20.1
"AZE","Asia","Azerbaijan","2021-12-30",3,27,1399,8149,0,0,852,3960,2,8,806,2966,2,8,1693,17785,4750,32860,816.367,79.63,65.62,75,0,27.458333333333332,96.3,119.309,19.9
"BHS","North America","Bahamas","2021-12-30",1,1,1402,7600,0,0,1232,5024,0,0,1083,4095,4,64,2179,26815,5896,43534,1803.917,48.15,50.83,58.1,0,46.45833333333333,96.3,39.497,31.6
"BHR","Asia","Bahrain","2021-12-30",1,1,1138,4216,1,1,756,1524,0,0,287,287,2,8,1980,20634,4161,26661,797.348,43.52,53.65,57.74,25,30.458333333333332,78.7,1935.907,29.8
"BGD","Asia","Bangladesh","2021-12-30",1,1,1398,10206,1,1,1253,5663,0,0,931,3673,4,64,2255,34715,5837,54257,168.788,38.89,55.21,55.95,50,32.45833333333333,93.52,1265.036,3.6
"BRB","North America","Barbados","2021-12-30",2,8,1159,5131,2,8,944,4070,0,0,256,826,3,27,1603,11959,3962,21986,903.694,67.59,67.71,70.24,50,50.45833333333333,88.89,664.463,23.1
"BLR","Europe","Belarus","2021-12-30",0,0,98,98,0,0,503,503,0,0,0,0,1,1,1186,7564,1787,8165,588.91,19.44,23.75,27.14,0,45.45833333333333,43.52,46.858,24.5
"BEL","Europe","Belgium","2021-12-30",2,8,1398,6834,0,0,702,2544,0,0,190,724,3,27,1698,13902,3988,24004,2433.561,50,65.1,63.69,75,25.458333333333332,81.48,375.564,22.1
"BLZ","North America","Belize","2021-12-30",2,8,1356,6432,2,8,952,2986,2,8,1088,3938,4,64,1954,21142,5350,34498,1476.853,73.15,67.19,76.79,0,51.45833333333333,85.19,16.426,24.1
"BEN","Africa","Benin","2021-12-30",2,8,615,1725,1,1,150,150,0,0,197,449,4,64,2201,28349,3163,30673,12.931,50,57.29,58.33,50,51.45833333333333,70.83,99.11,9.6
"BTN","Asia","Bhutan","2021-12-30",1,1,1268,6524,0,0,900,3306,1,1,958,2842,3,27,2042,26282,5168,38954,3.847,49.07,60.94,60.71,62.5,328.4583333333333,97.22,21.188,6.4
"BOL","South America","Bolivia","2021-12-30",1,1,849,4311,0,0,801,3099,0,0,622,2152,4,64,2139,29475,4411,39037,1660.619,26.85,40.1,45.83,0,43.45833333333333,96.3,10.202,20.2
"BIH","Europe","Bosnia and Herzegovina","2021-12-30",1,1,1007,3785,0,0,562,2746,0,0,237,657,2,8,1736,13724,3542,20912,4114.653,35.19,42.5,41.43,50,35.45833333333333,92.59,68.496,17.9
"BWA","Africa","Botswana","2021-12-30",1,1,749,2261,0,0,906,3072,0,0,1009,3739,3,27,1877,19589,4541,28661,1019.506,21.3,35.42,40.48,0,45.45833333333333,86.11,4.044,18.9
